title,tmdb_id,tmdb_media_type,franchise_group
Aquaman,297802,movie,DC Extended Universe (DCEU)
Argo,77467,movie,Standalone
Batman (1989),268,movie,Batman
Beetlejuice,920,movie,Beetlejuice
Blade Runner,78,movie,Blade Runner
Blade Runner 2049,335984,movie,Blade Runner
Blazing Saddles,17565,movie,Standalone
Bonnie and Clyde,347,movie,Standalone
Caddyshack,11453,movie,Standalone
Casablanca,289,movie,Standalone
City Heat,11068,movie,Standalone
Cool Hand Luke,1934,movie,Standalone
Crazy Rich Asians,425310,movie,Standalone
Deliverance,871,movie,Standalone
Deathtrap,11370,movie,Standalone
Dirty Harry,10815,movie,Dirty Harry
Dune: Part One,438631,movie,Dune
Dune: Part Two,693134,movie,Dune
Dunkirk,340487,movie,Standalone
East of Eden,741,movie,Standalone
Enter the Dragon,1582,movie,Standalone
Fantastic Beasts and Where to Find Them,338766,movie,Wizarding World
Forrest Gump,13,movie,Standalone
Full Metal Jacket,600,movie,Standalone
Good Will Hunting,489,movie,Standalone
Goodfellas,769,movie,Standalone
Gravity,49047,movie,Standalone
Gremlins,9278,movie,Gremlins
Harry Potter and the Chamber of Secrets,672,movie,Harry Potter
Harry Potter and the Sorcerer's Stone,671,movie,Wizarding World / Harry Potter
Inception,27205,movie,Standalone
Interstellar,157336,movie,Standalone
Joker,475557,movie,DC Universe / Joker
L.A. Confidential,775,movie,Standalone
Maltese Falcon,967,movie,Standalone
Mad Max: Fury Road,76341,movie,Mad Max
Michael Collins,1770,movie,Standalone
Million Dollar Baby,70,movie,Standalone
Murder in the First,8438,movie,Standalone
Mutiny on the Bounty (1962),1629,movie,Standalone
Mystic River,1805,movie,Standalone
Oh,God!,15725,movie
Prisoners,84931,movie,Standalone
Pulp Fiction,680,movie,Standalone
Rebel Without a Cause,357,movie,Standalone
Se7en,807,movie,Standalone
Shazam!,287947,movie,DC Extended Universe (DCEU)
Sherlock Holmes (2009),10520,movie,Sherlock Holmes
Singing in the Rain,864,movie,Standalone
Space Jam,3037,movie,Looney Tunes
Superman,1924,movie,Superman
Tenet,577922,movie,Standalone
The Big Lebowski,115,movie,Standalone
The Conjuring,138843,movie,The Conjuring Universe
The Conjuring 2,370604,movie,The Conjuring Universe
The Dark Knight,155,movie,DC
The Departed,756,movie,Standalone
The Exorcist,9552,movie,The Exorcist
The Fugitive (1993),163,movie,The Fugitive
The Goonies,9340,movie,Standalone
The Great Gatsby (2013),157200,movie,Standalone
The Last Samurai,8847,movie,Standalone
The Lord of the Rings: The Fellowship of the Ring,120,movie,The Lord of the Rings / Middle-earth
The Matrix,603,movie,The Matrix
The Mission,929,movie,Standalone
The Notebook,1345,movie,Standalone
The Shawshank Redemption,278,movie,Standalone
The Shining,694,movie,Standalone
The Treasure of the Sierra Madre,10807,movie,Standalone
The Wind and the Lion,15286,movie,Standalone
The Wizard of Oz,620,movie,Standalone
The Year of Living Dangerously,237,movie,Standalone
Training Day,9245,movie,Standalone
V for Vendetta,7979,movie,Standalone
Who's Afraid of Virginia Woolf?,269,movie,Standalone
Willy Wonka & the Chocolate Factory,1357,movie,Standalone
Wonder Woman,297762,movie,DC Extended Universe (DCEU)
2001: A Space Odyssey,62,movie,Standalone
Abbott Elementary,115456,tv,Standalone
Animaniacs (1993),464,tv,Animaniacs
Arrow,1412,tv,Arrowverse / DC
Band of Brothers,1426,tv,Standalone
Barry,73107,tv,Standalone
Batman: The Animated Series,179,tv,DC Animated Universe (DCAU)
Batwoman,89369,tv,Arrowverse / DC
Blindspot,62002,tv,Standalone
Boardwalk Empire,1361,tv,Standalone
Carnivàle,1441,tv,Standalone
Clone High (212503),212503,tv,Clone High
Curb Your Enthusiasm,1891,tv,Standalone
DC's Legends of Tomorrow,63351,tv,Arrowverse / DC
Deadwood,1574,tv,Standalone
Doom Patrol,79777,tv,DC
ER,164,tv,Standalone
Eastbound & Down,1429,tv,Standalone
Entourage,1792,tv,Standalone
Family Matters,247,tv,TGIF / Perfect Strangers
Flight of the Conchords,1877,tv,Standalone
Fringe,1381,tv,Standalone
Friends,1668,tv,Friends
Full House,260,tv,Full House
Game of Thrones,1399,tv,Game of Thrones
Genera+ion,118151,tv,Standalone
Gilmore Girls,453,tv,Standalone
Gossip Girl (2007),4606,tv,Gossip Girl
Gotham,60708,tv,DC / Batman
Hacks,117604,tv,Standalone
Harley Quinn (Animated Series),85502,tv,DC
House of the Dragon,94997,tv,A Song of Ice and Fire / Westeros
I May Destroy You,100780,tv,Standalone
Justice League,1434,tv,DC Animated
Last Week Tonight with John Oliver,61081,tv,Standalone
Lethal Weapon (TV Series),68480,tv,Lethal Weapon
Looney Tunes Cartoons (Web Series),98491,tv,Looney Tunes
Lucifer,63174,tv,DC / Sandman
Mad TV,1858,tv,Standalone
Mike & Molly,30973,tv,Standalone
Mom,58345,tv,Standalone
Our Flag Means Death,130728,tv,Standalone
One Tree Hill,114,tv,Standalone
Peacemaker,110316,tv,DC Extended Universe (DCEU)
Pennyworth,80562,tv,DC / Batman
Perry Mason (2020),90373,tv,Standalone
Person of Interest,1383,tv,Standalone
Pinky and the Brain,1353,tv,Animaniacs
Pretty Little Liars,31817,tv,Standalone
Riverdale,69050,tv,Standalone
Saved by the Bell (1989),412,tv,Saved by the Bell
"""Scooby-Doo","Where Are You!""",2154,tv
Shameless (U.S.),1433,tv,Standalone
Silicon Valley,60573,tv,Standalone
Six Feet Under,1417,tv,Standalone
Smallville,1708,tv,DC / Superman
Station Eleven,125954,tv,Standalone
Step by Step,1427,tv,Standalone
Succession,76097,tv,Standalone
Supergirl,62688,tv,Arrowverse / DC
Supernatural,1622,tv,Standalone
Ted Lasso,92950,tv,Standalone
Teen Titans,1431,tv,DC Animated
The Big Bang Theory,1418,tv,The Big Bang Theory
The Drew Carey Show,282,tv,Standalone
The Flash (2014),60735,tv,Arrowverse / DC
The Fresh Prince of Bel-Air,899,tv,The Fresh Prince of Bel-Air
The Knick,60924,tv,Standalone
The Last of Us,100088,tv,The Last of Us Franchise
The Leftovers,54905,tv,Standalone
The Mentalist,1404,tv,Standalone
The Middle,1413,tv,Standalone
The New Adventures of Old Christine,1406,tv,Standalone
The O.C.,1585,tv,Standalone
The Penguin,227599,tv,DC / Batman
The Sandman,90847,tv,DC / Sandman
The Sopranos,1396,tv,Standalone
The Vampire Diaries,18165,tv,The Vampire Diaries Universe
The West Wing,1621,tv,Standalone
The White Lotus,118434,tv,The White Lotus
The Wire,1438,tv,Standalone
Third Watch,1578,tv,Standalone
Tiny Toon Adventures,1344,tv,Looney Tunes / Tiny Toons
Titans,75450,tv,DC
Treme,1446,tv,Standalone
True Detective,48052,tv,True Detective (Anthology)
Two and a Half Men,1419,tv,Standalone
Veep,1422,tv,Standalone
Veronica Mars,1587,tv,Standalone
Warrior,70335,tv,Standalone
Watchmen,86831,tv,DC / Watchmen
Westworld,63247,tv,Standalone
Young Justice,37042,tv,DC Animated
Young Sheldon,71712,tv,The Big Bang Theory Franchise
